"","approachs","Index","Type","p_value"
"1","even_permutation","ACE","Spatial",0.456
"2","even_permutation","ACO","Spatial",0.424333333333333
"3","even_permutation","BSD","Spatial",0.59
"4","even_permutation","DEL","Spatial",0.352333333333333
"5","even_permutation","PARD","Spatial",0.613333333333333
"6","even_permutation","RCE","Spatial",0.482
"7","even_permutation","RCL","Spatial",0.556
"8","even_permutation","RCO","Spatial",0.405666666666667
"9","even_permutation","SD","Spatial",0.490333333333333
"10","even_permutation","SP","Spatial",0.577333333333333
"11","even_permutation","SPP","Spatial",0.84
"12","even_permutation","SxPx","Spatial",0.874
"13","even_permutation","SxPy","Spatial",0.789
"14","evenness","A","Non-Spatial",0.629666666666667
"15","evenness","ACE","Spatial",0.458666666666667
"16","evenness","ACO","Spatial",0.517666666666667
"17","evenness","BSD","Spatial",0.534333333333333
"18","evenness","D","Non-Spatial",0.420666666666667
"19","evenness","Dbc","Non-Spatial",0.660666666666667
"20","evenness","Dct","Non-Spatial",0.511666666666667
"21","evenness","Ddc","Non-Spatial",0.519
"22","evenness","DEL","Spatial",0.402666666666667
"23","evenness","G","Non-Spatial",0.518
"24","evenness","Gct","Non-Spatial",0.370666666666667
"25","evenness","H","Non-Spatial",0.407
"26","evenness","PARD","Spatial",0.483666666666667
"27","evenness","R","Non-Spatial",0.168
"28","evenness","RCE","Spatial",0.398333333333333
"29","evenness","RCL","Spatial",0.533
"30","evenness","RCO","Spatial",0.564333333333333
"31","evenness","SD","Spatial",0.537
"32","evenness","SP","Spatial",0.43
"33","evenness","SPP","Spatial",0.871
"34","evenness","SxPx","Spatial",0.855666666666667
"35","evenness","SxPy","Spatial",0.559
"36","evenness","V","Non-Spatial",0.454666666666667
"37","evenness","xPx","Non-Spatial",0.640666666666667
"38","evenness","xPy","Non-Spatial",0.627
"39","permutation","ACE","Spatial",0.553
"40","permutation","ACO","Spatial",0.553666666666667
"41","permutation","BSD","Spatial",0.505333333333333
"42","permutation","DEL","Spatial",0
"43","permutation","PARD","Spatial",0.470666666666667
"44","permutation","RCE","Spatial",0.512
"45","permutation","RCL","Spatial",0.495333333333333
"46","permutation","RCO","Spatial",0.686
"47","permutation","SD","Spatial",0.532
"48","permutation","SP","Spatial",0.384
"49","permutation","SPP","Spatial",0.4
"50","permutation","SxPx","Spatial",0.552333333333333
"51","permutation","SxPy","Spatial",0.477666666666667
"52","systematic","A","Non-Spatial",0.423666666666667
"53","systematic","ACE","Spatial",0.414666666666667
"54","systematic","ACO","Spatial",0.526333333333333
"55","systematic","BSD","Spatial",0.495
"56","systematic","D","Non-Spatial",0.502
"57","systematic","Dbc","Non-Spatial",0.543666666666667
"58","systematic","Dct","Non-Spatial",0.516333333333333
"59","systematic","Ddc","Non-Spatial",0.427666666666667
"60","systematic","DEL","Spatial",0.376333333333333
"61","systematic","G","Non-Spatial",0.399
"62","systematic","Gct","Non-Spatial",0.396666666666667
"63","systematic","H","Non-Spatial",0.435
"64","systematic","PARD","Spatial",0.587666666666667
"65","systematic","R","Non-Spatial",0.075
"66","systematic","RCE","Spatial",0.555
"67","systematic","RCL","Spatial",0.586333333333333
"68","systematic","RCO","Spatial",0.481333333333333
"69","systematic","SD","Spatial",0.541666666666667
"70","systematic","SP","Spatial",0.366333333333333
"71","systematic","SPP","Spatial",0.596666666666667
"72","systematic","SxPx","Spatial",0.566
"73","systematic","SxPy","Spatial",0.438333333333333
"74","systematic","V","Non-Spatial",0.563548687167757
"75","systematic","xPx","Non-Spatial",0.603388228143519
"76","systematic","xPy","Non-Spatial",0.549836417856475
"77","systematic_permutation","ACE","Spatial",0.379333333333333
"78","systematic_permutation","ACO","Spatial",0.506333333333333
"79","systematic_permutation","BSD","Spatial",0.433666666666667
"80","systematic_permutation","DEL","Spatial",0.262333333333333
"81","systematic_permutation","PARD","Spatial",0.469666666666667
"82","systematic_permutation","RCE","Spatial",0.469
"83","systematic_permutation","RCL","Spatial",0.511666666666667
"84","systematic_permutation","RCO","Spatial",0.467
"85","systematic_permutation","SD","Spatial",0.531666666666667
"86","systematic_permutation","SP","Spatial",0.541
"87","systematic_permutation","SPP","Spatial",0.466666666666667
"88","systematic_permutation","SxPx","Spatial",0.547
"89","systematic_permutation","SxPy","Spatial",0.598666666666667
